STATE,PLACE,POPESTIMATE2023
06,65042,109058
06,65070,28862
06,65084,62313
06,65112,328
06,66000,1388320
06,66070,33105
06,66140,23364
06,67000,808988
06,67042,37732
06,67056,26343
06,67112,55440
06,67126,3679
06,68000,969655
06,68014,2106
06,68028,34754
06,68084,85784
06,68154,49244
06,68196,94188
06,68224,11977
06,68252,101327
06,68294,31249
06,68364,59555
06,68378,84929
06,69000,310539
06,69070,86499
06,69084,131062
06,69088,224028
06,69112,61501
06,69154,20174
06,69196,109987
06,70000,89922
06,70042,31792
06,70098,175845
06,70224,59478
06,70280,29607
06,70364,7021
06,70588,11879
06,70686,24352
06,70742,31317
06,70770,7380
06,70882,24467
06,71106,21915
06,71225,10262
06,71806,10713
06,71876,11249
06,72016,125113
06,72506,12675
06,72520,23947
06,72576,5970
06,72646,10619
06,72674,4917
06,72996,19032
06,73080,90070
06,73108,21079
06,73220,25623
06,73262,63123
06,73962,38815
06,75000,319543
06,75630,28743
06,77000,151967
06,77364,12689
06,77392,2718
06,77574,6961
06,78092,10881
06,78106,424
06,78120,110682
06,78148,34854
06,78582,123463
06,78666,8846
06,80000,139224
06,80238,98010
06,80448,325
06,80588,17039
06,80644,71092
06,80686,867
06,80812,72100
06,80854,77704
06,80994,28734
06,81134,16072
06,81204,65414
06,81344,78699
06,81554,102526
06,81666,122807
06,82422,209
06,82590,138869
06,82744,5664
06,82954,144998
06,82996,98344
06,83332,27104
06,83346,69152
06,83542,26917
06,83612,9323
06,83668,50867
06,83850,2574
06,84200,105617
06,84410,34349
06,84438,7573
06,84550,88729
06,84606,1981
06,84816,55842
06,85012,4022
06,85292,84143
06,85446,37087
06,85586,5617
06,85600,4843
06,85684,6160
06,85922,25828
06,86034,7694
06,86300,7846
06,86328,61123
06,86440,5037
06,86832,66147
06,86930,3356
06,86944,7808
06,86972,68666
06,87042,53947
06,87056,21664
08,00760,449
08,00925,1772
08,01090,9883
08,01530,312
08,02355,622
08,03235,201
08,03455,121414
08,03620,6612
08,03950,2666
08,04000,395052
08,04110,5954
08,04935,4005
08,05265,2872
08,06090,3549
08,06255,13238
08,06530,181
08,07025,128
08,07190,336
08,07410,852
08,07795,309
08,07850,105898
08,08070,823
08,08345,57
08,08400,4940
08,08675,42477
08,09115,243
08,09280,76860
08,09555,5268
08,10105,3080
08,10600,3128
08,11260,726
08,11645,97
08,11810,17241
08,12030,0
08,12045,6708
08,12387,14747
08,12415,81415
08,12635,2410
08,12815,106883
08,12855,1924
08,12900,778
08,13460,233
08,13845,6273
08,14175,722
08,14765,278
08,15330,367
08,15550,127
08,15605,366
08,16000,488664
08,16385,1677
08,16495,68245
08,17375,9033
08,17760,9049
08,17925,407
08,18310,1658
08,18420,139
08,18530,1117
08,18640,125
08,18750,159
08,19080,6595
08,19355,477
08,19630,1513
08,19795,1413
08,19850,9599
08,20000,716577
08,20440,1016
08,20495,246
08,20770,923
08,21265,684
08,22035,19534
08,22145,636
08,22200,7391
08,22860,5832
08,23025,230
08,23135,4882
08,23740,2477
08,24620,327
08,24785,34275
08,24950,35269
08,25115,5824
08,25280,22326
08,25610,738
08,26270,13943
08,26600,18589
08,26765,573
08,26875,422
08,27040,3862
08,27425,170376
08,27700,9447
08,27810,11564
08,27865,28489
08,27975,1211
08,28105,735
08,28305,1456
08,28360,17676
08,28690,2763
08,28745,13816
08,29185,250
08,29680,153
08,29735,1257
08,29955,1020
08,30340,4447
08,30780,10250
08,30835,20242
08,31550,438
08,31605,2256
08,31660,69412
08,31715,405
08,32155,112609
08,32650,609
08,33035,15205
08,33310,153
08,33640,6815
08,33695,8833
08,34520,54
08,34740,70
08,34960,969
08,35070,1919
08,36610,309
08,37215,822
08,37270,2295
08,37380,79
08,37545,929
08,37600,662
08,37820,1617
08,37875,774
08,38370,1708
08,38535,845
08,38590,241
08,39195,245
08,39855,19511
08,39965,1238
08,40185,2050
08,40515,1491
08,40570,63
08,40790,740
08,41010,250
08,41560,1445
08,41835,30439
08,42055,716
08,42110,7033
08,42330,425
08,42495,16
08,43000,155961
08,43110,7525
08,43550,219
